customer_id,Name,email,Country,Gender,Age,Booking_Date,Check_In,Check_Out,Num_Guests,Guest_Type,Meal_Type,Room_Type,Market_Segment,Deposit_Type,Customer_Type,Previous_Cancellations,Total_Nights,ADR,Total_Revenue,Lead_Time,Parking_Space,Special_Requests,Booking_Status,Rating,Review_Score,Loyalty_Points,Is_Repeated_Guest,Previous_Bookings_Not_Canceled,Agent_ID,Company_ID
CUST_0013,Shannon Ray,waynecohen@example.com,Argentina,,49.0,2023-01-02,2023-01-03,2023-01-04,5.0,transient,,F,Online TA,Non Refund,contract,0,0.0,150.0,665,193,Y,None,Canceled,9,10.0,,0.0,NA,A_049,N/A
CUST_0014,Amber Perez,adrianthomas@example.org,Japan,Male,65.0,2023-01-02,2023-01-03,2023-01-04,3.0,children,sc,e,Offline TA/TO,non refundable,transient,0,10.0,80.0,1199,387,yes,1,Pending,,1.0,100.0,0.0,3,A_016,
CUST_0015,Bobby Hall,pjacobs@example.net,france,Other,,2023-01-03,2023-01-04,2023-01-05,0.0,Single,fb,D,,non refundable,contract,0,7.0,5000.0,825,382,Yes,3,confirmed,7,1.0,100.0,0.0,1,A_007,C_101
CUST_0016,Donald Reid,renee77@example.com,spain,MALE,28.0,2023-01-03,2023-01-04,2023-01-05,5.0,children,Half Board,D,Corporate,No Deposit,transient-party,0,10.0,-50.0,1351,106,1,,Confirmed,N/A,1.0,1000.0,0.0,0,A_043,C_104
CUST_0017,Jacqueline Clark,mclaughlinkeith@example.com,Australia,FEMALE,19.0,2023-01-03,2023-01-04,2023-01-05,4.0,children,HB,E,online ta,no deposit,transient,0,10.0,0.0,1352,60,Y,3,Check-Out,5,3.0,,0.0,0,,C_105
CUST_0498,Laura Moreno,ustewart@example.org,DEU,,38.0,2023-03-14,2023-03-15,2023-03-16,0.0,couple,bb,a,Complementary,No deposit,transient,3,300.0,,74,384,Yes,3,canceled,excellent,,50.0,1.0,1,A_023,C_101
CUST_0019,Christopher Daniel,robertwhite@example.net,,Other,35.0,2023-01-03,2023-01-04,2023-01-05,5.0,Children,,F,corporate,non refundable,Transient,2,10.0,200.0,1112,13,N,,Confirmed,2,5.0,200.0,0.0,3,A_001,C_104
CUST_0020,Jamie Mayo,qellis@example.org,France,Other,59.0,2023-01-03,2023-01-04,2023-01-05,0.0,Family,sc,c,ONLINE TA,No Deposit,Transient-Party,4,5.0,250.0,1260,427,2,,check-out,9,3.0,200.0,1.0,1,A_050,C_101
CUST_0021,Justin Cohen,longsonya@example.org,france,male,68.0,2023-01-03,2023-01-04,2023-01-05,4.0,family,Undefined,c,complementary,Refundable,transient-party,5,1.0,250.0,606,100,1,None,PendingCXL,poor,8.0,200.0,0.0,3,A_010,C_101
CUST_0022,Ricardo Perez,joshuafuller@example.com,Japan,Male,45.0,2023-01-04,2023-01-05,2023-01-06,0.0,Transient,HB,C,offline ta/to,Refundable,transient,2,0.0,150.0,1091,339,no,3,Canceled,fair,,,0.0,0,A_021,C_105
CUST_0023,Emily Adams,wolfejennifer@example.org,France,female,67.0,2023-01-04,2023-01-05,2023-01-06,3.0,transient,,G,Corporate,no deposit,Contract,0,0.0,120.0,566,254,no,None,confirmed,2,3.0,50.0,,0,A_002,C_101
CUST_0024,Terri Walter,wjenkins@example.net,,F,72.0,2023-01-04,2023-01-05,2023-01-06,3.0,Children,hb,F,Online TA,No deposit,Contract,4,300.0,50.0,1108,491,0,,Confirmed,poor,5.0,50.0,0.0,0,A_040,C_104
CUST_0025,Matthew Foster,carneycharles@example.org,UNITED KINGDOM,Other,50.0,2023-01-04,2023-01-05,2023-01-06,0.0,children,Half Board,g,direct,non refundable,contract,1,10.0,80.0,192,328,,2,check-out,4,6.0,500.0,,0,A_047,C_101
CUST_0026,Judy Baker,robert24@example.org,Portugal,Female,27.0,2023-01-04,2023-01-05,2023-01-06,0.0,Children,BB,L,ONLINE TA,refundable,contract,3,-3.0,250.0,1007,257,No,2,Canceled,5,,50.0,0.0,1,A_046,C_104
CUST_0027,Kristina Baker,murraycharles@example.net,united states,Male,30.0,2023-01-04,2023-01-05,2023-01-06,0.0,Adults,sc,D,Corporate,Non Refund,transient-party,5,4.0,,74,372,1,3,check-out,good,1.0,0.0,0.0,3,A_043,C_102
CUST_0028,Stephanie Ross,vjames@example.com,Portugal,F,89.0,2023-01-04,2023-01-05,2023-01-06,5.0,single,FB,D,ONLINE,No deposit,contract,999,4.0,5000.0,1380,39,No,None,check-out,3,7.0,2000.0,0.0,1,A_010,C_101
CUST_0029,Zachary Hicks,randysmith@example.org,spain,,25.0,2023-01-05,2023-01-06,2023-01-07,0.0,Family,HB,A,Online TA,Non Refund,Contract,0,5.0,200.0,554,47,No,1,No-Show,fair,7.0,,0.0,3,A_032,C_103
CUST_0030,Anthony Rodriguez,markgoodman@example.com,Argentina,Female,24.0,2023-01-05,2023-01-06,2023-01-07,1.0,single,SC,F,direct,refundable,Transient-Party,4,5.0,250.0,880,333,Yes,3,check-out,10,,2000.0,0.0,2,A_002,C_104
CUST_0031,Ricky Henderson,jjones@example.net,Australia,FEMALE,60.0,2023-01-05,2023-01-06,2023-01-07,1.0,transient,fb,d,Aviation,Refundable,transient-party,0,1.0,,268,497,0,0,Canceled,2,8.0,,0.0,1,A_017,
CUST_0032,James Ferrell,jenniferkim@example.com,Canada,Male,48.0,2023-01-05,2023-01-06,2023-01-07,0.0,Family,HB,C,online ta,Refundable,Group,0,1.0,120.0,101,436,no,2,canceled,3,,500.0,0.0,0,A_001,C_105
CUST_0033,Wesley Valencia,mckenzie20@example.net,Australia,female,78.0,2023-01-05,2023-01-06,2023-01-07,2.0,adults,HB,a,Offline TA/TO,Non-Refund,Group,4,0.0,-50.0,159,343,1,Multiple,Check-Out,1,,50.0,0.0,1,A_002,C_101
CUST_0034,Nathan Maldonado,thompsondavid@example.net,brazil,Non-Binary,63.0,2023-01-05,2023-01-06,2023-01-07,1.0,single,sc,g,Corporate,refundable,Contract,5,,-50.0,983,381,0,0,PendingCXL,poor,,,0.0,3,A_050,C_101
CUST_0035,Debra Davidson,qjackson@example.org,DEU,MALE,23.0,2023-01-05,2023-01-06,2023-01-07,5.0,Adults,Full Board,P,corporate,Non Refund,transient-party,0,3.0,300.0,1009,500,N,4,Pending,,10.0,,0.0,1,A_020,C_104
CUST_0036,Jeffrey Chavez,eric52@example.org,Germany,,18.0,2023-01-06,2023-01-07,2023-01-08,4.0,Family,Undefined,P,direct,No Deposit,contract,0,3.0,-50.0,58,393,1,2,Confirmed,5,10.0,500.0,0.0,0,A_016,C_101
CUST_0037,Shawn Baker,staffordamanda@example.com,DEU,Male,50.0,2023-01-06,2023-01-07,2023-01-08,0.0,Children,FB,P,online ta,Non Refund,Transient,3,5.0,-50.0,197,28,No,None,Canceled,8,3.0,200.0,0.0,1,A_050,C_101
CUST_0038,Christopher Gaines,copelandlisa@example.net,,Other,82.0,2023-01-06,2023-01-07,2023-01-08,0.0,children,bb,C,Offline TA/TO,Non Refund,Group,5,3.0,-50.0,960,161,No,3,Confirmed,fair,,,,NA,A_001,C_105
CUST_0039,Edwin Fowler,myerskyle@example.org,Australia,,66.0,2023-01-06,2023-01-07,2023-01-08,0.0,Couple,Undefined,c,direct,no deposit,transient,999,300.0,300.0,1045,394,Y,0,no-show,3,8.0,200.0,0.0,0,A_035,C_104
CUST_0040,Christian Farmer,williamsnicholas@example.org,United Kingdom,Non-Binary,56.0,2023-01-06,2023-01-07,2023-01-08,4.0,couple,,e,Offline TA/TO,no deposit,contract,0,10.0,250.0,504,455,2,,Check-Out,4,6.0,200.0,,0,A_028,C_105
CUST_0041,Richard Moreno,nicholasallen@example.org,United Kingdom,Male,68.0,2023-01-06,2023-01-07,2023-01-08,5.0,transient,hb,P,Direct,refundable,Contract,4,300.0,200.0,1389,353,yes,None,Confirmed,2,,200.0,0.0,3,A_025,
CUST_0042,Erika Smith,fisherveronica@example.com,Spain,Female,65.0,2023-01-06,2023-01-07,2023-01-08,2.0,adults,sc,G,Aviation,non refundable,Contract,0,7.0,250.0,1034,386,yes,3,check-out,7,6.0,200.0,0.0,3,A_028,C_105
CUST_0043,Sherry Decker,erinbrown@example.org,france,,34.0,2023-01-07,2023-01-08,2023-01-09,5.0,adults,HB,,Online TA,Refundable,transient,0,4.0,0.0,691,225,N,1,Canceled,9,,500.0,0.0,3,A_033,C_101
CUST_0044,Amy Humphrey,jenniferwilliams@example.net,USA,Female,89.0,2023-01-07,2023-01-08,2023-01-09,0.0,Children,sc,c,corporate,Refundable,Transient-Party,0,14.0,0.0,1225,499,No,,Pending,1,10.0,100.0,0.0,1,A_020,C_102
CUST_0045,Angelica Tucker,ochoamarcus@example.net,Spain,F,23.0,2023-01-07,2023-01-08,2023-01-09,1.0,Single,FB,d,Direct,No Deposit,transient,5,0.0,120.0,684,433,Y,4,PendingCXL,1,2.0,,0.0,1,,N/A
CUST_0046,Paige Cannon,colleenvilla@example.com,Italy,Non-Binary,40.0,2023-01-07,2023-01-08,2023-01-09,1.0,Transient,hb,P,complementary,No Deposit,Transient,0,4.0,,1269,497,,4,No-Show,,8.0,100.0,0.0,0,A_003,C_101
CUST_0047,Karen Pierce,nmartinez@example.org,france,Female,51.0,2023-01-07,2023-01-08,2023-01-09,3.0,Couple,sc,H,Direct,No Deposit,Transient-Party,1,3.0,120.0,454,15,No,0,no-show,7,3.0,,0.0,2,N/A,C_104
CUST_0048,Shelia Henderson,marcus06@example.net,france,,39.0,2023-01-07,2023-01-08,2023-01-09,4.0,single,SC,f,Offline TA/TO,No deposit,group,1,3.0,250.0,463,488,No,4,Confirmed,3,7.0,50.0,0.0,0,A_032,C_101
CUST_0049,Joshua Blair,alexander37@example.org,USA,F,82.0,2023-01-07,2023-01-08,2023-01-09,3.0,couple,FB,L,Corporate,No Deposit,Transient-Party,3,2.0,5000.0,125,96,Yes,3,Check-Out,good,7.0,50.0,0.0,2,A_042,C_101
CUST_0050,Emily Carney,barrettjoshua@example.net,united states,Non-Binary,81.0,2023-01-08,2023-01-09,2023-01-10,1.0,family,Half Board,c,Direct,non refundable,contract,0,0.0,50.0,959,388,Yes,1,Canceled,poor,1.0,,0.0,0,A_010,
CUST_0051,Jessica Holmes,bradley36@example.com,Portugal,MALE,61.0,2023-01-08,2023-01-09,2023-01-10,2.0,Children,SC,A,Offline TA/TO,no deposit,contract,4,2.0,250.0,1130,438,1,1,Confirmed,4,10.0,50.0,0.0,0,A_025,C_101
CUST_0052,Courtney Morgan,gbird@example.net,Germany,F,77.0,2023-01-08,2023-01-09,2023-01-10,2.0,adults,BB,H,ONLINE TA,No Deposit,transient,1,5.0,5000.0,261,293,yes,Multiple,PendingCXL,2,9.0,,0.0,1,A_003,C_105
CUST_0053,Crystal Robinson,johnathandavis@example.com,Canada,F,34.0,2023-01-08,2023-01-09,2023-01-10,3.0,Family,,E,corporate,Non-Refund,contract,0,4.0,100.0,276,313,yes,1,confirmed,excellent,10.0,500.0,0.0,0,A_048,C_101
CUST_0054,Mark Perez,xgregory@example.net,Italy,Non-Binary,29.0,2023-01-08,2023-01-09,2023-01-10,1.0,Single,,C,ONLINE,Non-Refund,transient-party,5,0.0,100.0,201,194,,None,PendingCXL,1,10.0,1000.0,0.0,1,A_011,C_101
CUST_0055,Scott Jones,martinreid@example.net,Argentina,F,58.0,2023-01-08,2023-01-09,2023-01-10,1.0,Transient,Full Board,l,complementary,No deposit,Contract,0,1.0,0.0,955,440,1,4,Check-Out,10,7.0,,0.0,0,A_030,C_101
CUST_0056,Michael Lewis,tiffany71@example.com,France,Other,85.0,2023-01-09,2023-01-10,2023-01-11,0.0,adults,bb,F,online ta,Non-Refund,Transient,1,14.0,50.0,268,395,1,,check-out,4,10.0,,0.0,2,A_021,C_103
CUST_0057,Taylor Duncan,franklinbrenda@example.com,Japan,M,73.0,2023-01-09,2023-01-10,2023-01-11,4.0,Adults,sc,F,Aviation,refundable,Group,0,1.0,,1225,105,no,2,Canceled,,,100.0,0.0,0,A_031,C_101
CUST_0058,Richard Aguirre,wesleybush@example.org,,Non-Binary,36.0,2023-01-09,2023-01-10,2023-01-11,5.0,family,Bed & Breakfast,P,online ta,no deposit,Transient-Party,0,7.0,80.0,1490,30,Y,,no-show,1,1.0,,0.0,1,A_047,Unknown
CUST_0059,Anne Jordan,andrewblake@example.org,France,Non-Binary,51.0,2023-01-09,2023-01-10,2023-01-11,2.0,Transient,,g,groups,No Deposit,transient,2,5.0,120.0,916,217,Yes,1,no-show,4,,,0.0,0,,C_105
CUST_0060,Julie Daniel,joel63@example.net,Japan,MALE,32.0,2023-01-09,2023-01-10,2023-01-11,5.0,children,Bed & Breakfast,P,corporate,Non Refund,group,1,14.0,-50.0,156,204,Yes,None,confirmed,fair,4.0,100.0,0.0,0,A_039,C_103
CUST_0061,William Garcia,brownnicholas@example.com,Italy,Female,58.0,2023-01-09,2023-01-10,2023-01-11,4.0,family,sc,P,Direct,Refundable,contract,999,300.0,250.0,124,445,Yes,,No-Show,N/A,5.0,200.0,,3,A_027,Unknown
CUST_0062,Gerald Hensley,edwardharris@example.org,United Kingdom,,,2023-01-09,2023-01-10,2023-01-11,0.0,Children,sc,h,Online TA,Refundable,transient,0,4.0,50.0,619,236,No,0,PendingCXL,9,2.0,200.0,,3,A_028,C_102
CUST_0063,Connor West,sandrageorge@example.com,UNITED KINGDOM,female,34.0,2023-01-10,2023-01-11,2023-01-12,0.0,children,BB,H,Offline TA/TO,No deposit,Transient,2,10.0,150.0,1311,11,yes,3,Check-Out,7,10.0,,0.0,1,A_013,C_101
CUST_0064,Donald Wright,dennis50@example.net,Canada,,81.0,2023-01-10,2023-01-11,2023-01-12,0.0,Group,sc,H,direct,No deposit,Transient,0,,300.0,98,6,,4,Check-Out,2,4.0,,0.0,2,A_027,C_105
CUST_0065,Jeremy Callahan,swong@example.org,Brazil,MALE,53.0,2023-01-10,2023-01-11,2023-01-12,0.0,single,bb,P,groups,Refundable,Contract,4,2.0,0.0,398,176,2,,Check-Out,,3.0,,0.0,0,A_033,C_102
CUST_0066,Anthony Kidd,melanierivera@example.org,united states,Female,64.0,2023-01-10,2023-01-11,2023-01-12,4.0,couple,,C,complementary,no deposit,Transient,4,7.0,150.0,240,304,yes,2,Canceled,6,7.0,50.0,0.0,2,A_002,C_103
CUST_0067,Tracy House,amberknox@example.net,,,73.0,2023-01-10,2023-01-11,2023-01-12,2.0,children,SC,F,corporate,Non Refund,Group,2,14.0,5000.0,598,311,N,Multiple,PendingCXL,4,,0.0,0.0,2,A_023,C_101
CUST_0068,Carol Tucker,lauriehorton@example.org,Spain,M,54.0,2023-01-10,2023-01-11,2023-01-12,0.0,Family,Full Board,A,Offline TA/TO,No Deposit,Transient,1,300.0,300.0,636,143,yes,0,Canceled,excellent,10.0,50.0,0.0,2,A_014,C_102
CUST_0069,Jennifer Brown,lboyd@example.com,USA,Non-Binary,51.0,2023-01-10,2023-01-11,2023-01-12,4.0,Adults,,P,Offline TA/TO,refundable,Transient-Party,0,0.0,80.0,651,206,,0,no-show,excellent,,500.0,,2,A_032,C_105
CUST_0070,Victoria Baker,browntravis@example.org,Portugal,MALE,51.0,2023-01-11,2023-01-12,2023-01-13,3.0,transient,FB,a,Offline TA/TO,non refundable,transient-party,3,2.0,0.0,226,467,0,0,No-Show,5,10.0,,0.0,0,A_013,C_101
CUST_0071,Jordan Henderson,waltersdonald@example.org,spain,Non-Binary,84.0,2023-01-11,2023-01-12,2023-01-13,1.0,Children,bb,g,Aviation,Refundable,Transient,1,2.0,0.0,780,305,1,2,confirmed,5,9.0,50.0,0.0,0,A_034,C_104
CUST_0072,Zachary Peters,christopherwatkins@example.org,France,female,58.0,2023-01-11,2023-01-12,2023-01-13,0.0,Adults,FB,f,Aviation,non refundable,Contract,5,7.0,50.0,734,441,0,None,check-out,3,1.0,,0.0,0,A_004,C_101
CUST_0073,Christopher Phillips,williamsimmons@example.com,Germany,M,73.0,2023-01-11,2023-01-12,2023-01-13,1.0,children,,h,Offline TA/TO,Non-Refund,group,0,1.0,120.0,1262,428,0,0,Confirmed,4,,50.0,0.0,3,A_001,C_102
CUST_0074,Ms. Kimberly Adkins,frank33@example.com,DEU,Non-Binary,39.0,2023-01-11,2023-01-12,2023-01-13,0.0,single,Half Board,L,Direct,Non-Refund,group,0,2.0,-50.0,916,495,Yes,2,canceled,poor,10.0,,0.0,1,A_036,C_103
CUST_0075,Kevin Shaw,catherineturner@example.net,Brazil,Other,58.0,2023-01-11,2023-01-12,2023-01-13,1.0,single,FB,P,ONLINE,Refundable,Contract,2,1.0,50.0,966,203,no,2,canceled,poor,8.0,,,2,A_050,N/A
CUST_0076,Brooke Yu,mfaulkner@example.com,Portuagal,FEMALE,80.0,2023-01-11,2023-01-12,2023-01-13,3.0,group,,F,Direct,non refundable,Transient-Party,5,2.0,120.0,622,203,No,0,Pending,4,,100.0,0.0,1,A_034,C_103
CUST_0077,Cody Larson,xmiller@example.com,france,female,37.0,2023-01-12,2023-01-13,2023-01-14,3.0,children,,E,Online TA,Non Refund,Transient-Party,0,10.0,200.0,515,351,Yes,0,check-out,3,9.0,2000.0,0.0,0,A_010,C_102
CUST_0078,Cynthia Wilson,cjackson@example.com,USA,female,89.0,2023-01-12,2023-01-13,2023-01-14,1.0,Transient,Bed & Breakfast,g,Offline TA/TO,Refundable,Contract,4,3.0,80.0,525,309,No,Multiple,canceled,1,,100.0,0.0,2,A_013,C_104
CUST_0079,Danielle Wheeler,ywolf@example.com,USA,,74.0,2023-01-12,2023-01-13,2023-01-14,2.0,family,SC,h,direct,Non Refund,Contract,0,10.0,150.0,527,125,No,3,check-out,excellent,4.0,50.0,0.0,2,A_013,C_104
CUST_0080,Jennifer Silva,gillronald@example.org,Australia,female,24.0,2023-01-12,2023-01-13,2023-01-14,5.0,Group,,h,complementary,No deposit,Contract,0,1.0,-50.0,1413,440,yes,,Pending,5,,100.0,0.0,2,A_001,C_104
CUST_0081,Timothy Harris,brooke28@example.net,,female,42.0,2023-01-12,2023-01-13,2023-01-14,2.0,couple,,,Online TA,refundable,Contract,0,1.0,0.0,1405,366,yes,4,no-show,6,10.0,,0.0,3,A_003,C_101
CUST_0082,Cynthia Foster,jonathanford@example.com,united states,,37.0,2023-01-12,2023-01-13,2023-01-14,1.0,single,sc,f,online ta,Non Refund,transient,3,-3.0,200.0,1112,70,,4,Canceled,8,8.0,500.0,0.0,3,,C_102
CUST_0083,Elijah Stewart,nicholas97@example.org,Germany,MALE,24.0,2023-01-12,2023-01-13,2023-01-14,5.0,Adults,Bed & Breakfast,f,Direct,No deposit,Transient-Party,4,1.0,,670,392,Y,4,confirmed,4,4.0,100.0,0.0,1,A_030,C_102
CUST_0084,Benjamin Ellis,derrick73@example.org,spain,female,47.0,2023-01-13,2023-01-14,2023-01-15,3.0,Couple,hb,A,complementary,No Deposit,contract,2,3.0,-50.0,1409,126,NA,None,Canceled,8,,50.0,0.0,2,A_002,C_105
CUST_0085,Dr. Angel Lewis MD,adamhensley@example.net,France,,41.0,2023-01-13,2023-01-14,2023-01-15,5.0,Children,SC,c,Groups,no deposit,transient,0,10.0,100.0,1206,111,Y,4,confirmed,10,3.0,100.0,0.0,1,A_006,C_101
CUST_0086,Shirley Suarez,travis66@example.net,Brazil,F,22.0,2023-01-13,2023-01-14,2023-01-15,5.0,Couple,Undefined,C,corporate,no deposit,transient-party,3,7.0,0.0,883,353,NA,4,canceled,3,4.0,100.0,0.0,0,A_039,C_101
CUST_0087,Christopher Bass,patrick49@example.org,UNITED KINGDOM,,78.0,2023-01-13,2023-01-14,2023-01-15,0.0,group,BB,L,complementary,No deposit,Transient-Party,1,-3.0,150.0,1486,236,N,4,no-show,4,9.0,,0.0,0,N/A,C_104
CUST_0088,Logan Archer,hdyer@example.com,France,Non-Binary,51.0,2023-01-13,2023-01-14,2023-01-15,3.0,group,hb,l,ONLINE,Non Refund,Group,0,0.0,150.0,751,30,no,1,canceled,2,8.0,200.0,0.0,NA,A_038,C_102
CUST_0089,Aimee Montoya,jamesgraham@example.com,,F,38.0,2023-01-13,2023-01-14,2023-01-15,1.0,Adults,Undefined,g,offline ta/to,No Deposit,Contract,0,4.0,80.0,816,14,1,3,No-Show,9,10.0,0.0,0.0,2,A_035,C_101
CUST_0090,Mary Mcmillan,william75@example.net,Spain,MALE,77.0,2023-01-13,2023-01-14,2023-01-15,0.0,Transient,hb,p,groups,Non Refund,Contract,1,300.0,0.0,381,252,NA,0,PendingCXL,good,6.0,200.0,0.0,3,A_011,N/A
CUST_0091,Ashley Rodriguez,curtissara@example.net,Australia,Non-Binary,73.0,2023-01-14,2023-01-15,2023-01-16,1.0,single,,d,online ta,Refundable,Group,0,5.0,80.0,518,55,NA,,Canceled,1,,500.0,0.0,1,A_019,C_103
CUST_0092,Dominic Jacobs,johnjohnson@example.com,Japan,male,,2023-01-14,2023-01-15,2023-01-16,0.0,Group,hb,d,ONLINE,non refundable,Group,0,14.0,150.0,1212,380,NA,1,Canceled,5,9.0,,0.0,0,A_030,C_101
CUST_0093,Dalton Walters,terrydeanna@example.com,Canada,female,81.0,2023-01-14,2023-01-15,2023-01-16,2.0,Children,,A,Corporate,non refundable,contract,4,7.0,300.0,273,348,1,3,no-show,good,9.0,,0.0,1,A_032,C_101
CUST_0094,Katherine Whitehead,jblackburn@example.com,Germany,FEMALE,23.0,2023-01-14,2023-01-15,2023-01-16,2.0,children,,l,Corporate,Non-Refund,Group,0,0.0,0.0,1033,162,,1,Check-Out,4,7.0,,0.0,3,A_004,C_105
CUST_0095,Anna Henderson,carrielynn@example.org,UNITED KINGDOM,FEMALE,74.0,2023-01-14,2023-01-15,2023-01-16,0.0,Transient,bb,,ONLINE,Non Refund,transient,999,14.0,50.0,1442,267,NA,Multiple,Pending,5,,,0.0,1,A_041,C_101
CUST_0096,April Wise,wilsonchristopher@example.net,Germany,MALE,63.0,2023-01-14,2023-01-15,2023-01-16,4.0,Couple,,f,direct,Refundable,Contract,0,-3.0,200.0,104,419,N,1,no-show,4,6.0,200.0,0.0,1,A_044,C_105
CUST_0097,Dennis Figueroa,lsanders@example.org,,Male,89.0,2023-01-14,2023-01-15,2023-01-16,2.0,Family,,h,,refundable,Contract,5,,120.0,482,4,0,,Check-Out,5,7.0,50.0,0.0,3,A_030,C_101
CUST_0098,Jeffrey Smith,nancymartin@example.com,France,Male,80.0,2023-01-15,2023-01-16,2023-01-17,0.0,single,Undefined,L,complementary,Refundable,Group,0,4.0,150.0,529,400,2,1,Confirmed,3,5.0,,0.0,1,A_024,N/A
CUST_0099,Stephen Mckee,heather88@example.net,Portuagal,male,76.0,2023-01-15,2023-01-16,2023-01-17,2.0,Group,BB,e,Corporate,Refundable,transient,5,7.0,300.0,787,13,1,3,no-show,1,,50.0,0.0,0,A_007,C_101
CUST_0100,Ruben Aguilar,uwillis@example.com,DEU,Other,81.0,2023-01-15,2023-01-16,2023-01-17,0.0,children,HB,G,Online TA,No Deposit,Transient,1,5.0,100.0,549,296,Y,,Confirmed,,,,0.0,0,A_034,C_103
CUST_0101,Bethany Parker,rodriguezashley@example.com,united states,Male,32.0,2023-01-15,2023-01-16,2023-01-17,0.0,Couple,,E,Complementary,Non Refund,Transient-Party,1,-3.0,,52,253,yes,0,Pending,6,,100.0,0.0,0,A_045,C_102
CUST_0102,Robert Valencia,josephclark@example.net,UNK,Non-Binary,36.0,2023-01-15,2023-01-16,2023-01-17,4.0,Group,Full Board,f,direct,No Deposit,Transient,4,-3.0,120.0,163,443,yes,0,Confirmed,good,8.0,,0.0,1,A_026,C_101
CUST_0103,Daniel Wright,ahale@example.org,Italy,M,33.0,2023-01-15,2023-01-16,2023-01-17,1.0,adults,sc,H,Corporate,Refundable,transient-party,1,4.0,0.0,687,467,2,4,Check-Out,3,3.0,,0.0,3,A_009,C_101
CUST_0104,Richard Henson,esmith@example.net,france,male,62.0,2023-01-16,2023-01-17,2023-01-18,1.0,Transient,Half Board,f,Aviation,Refundable,Transient-Party,0,7.0,200.0,1314,33,,,canceled,good,6.0,50.0,0.0,1,A_007,
CUST_0105,Lisa Moore,pwarren@example.com,,Male,29.0,2023-01-16,2023-01-17,2023-01-18,3.0,adults,Undefined,L,Aviation,Refundable,transient-party,999,14.0,80.0,1472,140,yes,,Check-Out,5,10.0,,0.0,0,A_001,C_101
