Customer_ID,Customer_Name,Email,Country,Gender,Age,Booking_Date,Check_In,Check_Out,Num_Guests,Guest_Type,Meal_Type,Room_Type,Market_Segment,Deposit_Type,Customer_Type,Previous_Cancellations,Total_Nights,ADR,Total_Revenue,Lead_Time,Parking_Space,Special_Requests,Booking_Status,Rating,Review_Score,Loyalty_Points,Is_Repeated_Guest,Previous_Bookings_Not_Canceled,Agent_ID,Company_ID
CUST_0035,Debra Davidson,qjackson@example.org,Germany,Male,23.0,2023-01-05,2023-01-06,2023-01-07,5.0,Adults,Full Board,P,Corporate,Non Refund,Transient-Party,0,3.0,300.0,1009,500,0.0,4.0,Pending,,10.0,0.0,0,1.0,A_020,C_104
CUST_0039,Edwin Fowler,myerskyle@example.org,Australia,Female,66.0,2023-01-06,2023-01-07,2023-01-08,0.0,Couple,Undefined,c,Direct,No Deposit,Transient,10,23.5,300.0,1045,394,1.0,0.0,No-Show,3,8.0,200.0,0,0.0,A_035,C_104
CUST_0040,Christian Farmer,williamsnicholas@example.org,United Kingdom,Non-Binary,56.0,2023-01-06,2023-01-07,2023-01-08,4.0,Couple,Bed & Breakfast,e,Offline Ta/To,No Deposit,Contract,0,10.0,250.0,504,455,2.0,0.0,Check-Out,4,6.0,200.0,,0.0,A_028,C_105
CUST_0041,Richard Moreno,nicholasallen@example.org,United Kingdom,Male,68.0,2023-01-06,2023-01-07,2023-01-08,5.0,Transient,Hb,P,Direct,Refundable,Contract,4,23.5,200.0,1389,353,,0.0,Confirmed,2,6.9082020640956,200.0,0,3.0,A_025,
CUST_0042,Erika Smith,fisherveronica@example.com,Spain,Female,65.0,2023-01-06,2023-01-07,2023-01-08,2.0,Adults,Sc,G,Aviation,Non Refundable,Contract,0,7.0,250.0,1034,386,,3.0,Check-Out,7,6.0,200.0,0,3.0,A_028,C_105
CUST_0043,Sherry Decker,erinbrown@example.org,France,Female,34.0,2023-01-07,2023-01-08,2023-01-09,5.0,Adults,Hb,c,Online Ta,Refundable,Transient,0,4.0,0.0,691,225,0.0,1.0,Canceled,9,6.9082020640956,500.0,0,3.0,A_033,C_101
CUST_0044,Amy Humphrey,jenniferwilliams@example.net,Usa,Female,89.0,2023-01-07,2023-01-08,2023-01-09,0.0,Children,Sc,c,Corporate,Refundable,Transient-Party,0,14.0,0.0,1225,499,0.0,0.0,Pending,1,10.0,100.0,0,1.0,A_020,C_102
CUST_0045,Angelica Tucker,ochoamarcus@example.net,Spain,Female,23.0,2023-01-07,2023-01-08,2023-01-09,1.0,Single,Fb,d,Direct,No Deposit,Transient,5,0.0,120.0,684,433,1.0,4.0,Pendingcxl,1,2.0,0.0,0,1.0,Unknown,
CUST_0046,Paige Cannon,colleenvilla@example.com,Italy,Non-Binary,40.0,2023-01-07,2023-01-08,2023-01-09,1.0,Transient,Hb,P,Complementary,No Deposit,Transient,0,4.0,120.0,1269,497,,4.0,No-Show,,8.0,100.0,0,0.0,A_003,C_101
CUST_0047,Karen Pierce,nmartinez@example.org,France,Female,51.0,2023-01-07,2023-01-08,2023-01-09,3.0,Couple,Sc,H,Direct,No Deposit,Transient-Party,1,3.0,120.0,454,15,0.0,0.0,No-Show,7,3.0,0.0,0,2.0,Unknown,C_104
CUST_0048,Shelia Henderson,marcus06@example.net,France,Female,39.0,2023-01-07,2023-01-08,2023-01-09,4.0,Single,Sc,f,Offline Ta/To,No Deposit,Group,1,3.0,250.0,463,488,0.0,4.0,Confirmed,3,7.0,50.0,0,0.0,A_032,C_101
CUST_0049,Joshua Blair,alexander37@example.org,Usa,Female,82.0,2023-01-07,2023-01-08,2023-01-09,3.0,Couple,Fb,L,Corporate,No Deposit,Transient-Party,3,2.0,505.0,125,96,1.0,3.0,Check-Out,good,7.0,50.0,0,2.0,A_042,C_101
CUST_0050,Emily Carney,barrettjoshua@example.net,USA,Non-Binary,81.0,2023-01-08,2023-01-09,2023-01-10,1.0,Family,Half Board,c,Direct,Non Refundable,Contract,0,0.0,50.0,959,388,1.0,1.0,Canceled,poor,1.5,0.0,0,0.0,A_010,
CUST_0051,Jessica Holmes,bradley36@example.com,Portugal,Male,61.0,2023-01-08,2023-01-09,2023-01-10,2.0,Children,Sc,A,Offline Ta/To,No Deposit,Contract,4,2.0,250.0,1130,438,1.0,1.0,Confirmed,4,10.0,50.0,0,0.0,A_025,C_101
CUST_0052,Courtney Morgan,gbird@example.net,Germany,Female,77.0,2023-01-08,2023-01-09,2023-01-10,2.0,Adults,Bb,H,Online Ta,No Deposit,Transient,1,5.0,505.0,261,293,,,Pendingcxl,2,9.0,0.0,0,1.0,A_003,C_105
CUST_0053,Crystal Robinson,johnathandavis@example.com,Canada,Female,34.0,2023-01-08,2023-01-09,2023-01-10,3.0,Family,Bed & Breakfast,E,Corporate,Non-Refund,Contract,0,4.0,100.0,276,313,,1.0,Confirmed,excellent,10.0,500.0,0,0.0,A_048,C_101
CUST_0054,Mark Perez,xgregory@example.net,Italy,Non-Binary,29.0,2023-01-08,2023-01-09,2023-01-10,1.0,Single,Bed & Breakfast,C,Online,Non-Refund,Transient-Party,5,0.0,100.0,201,194,,0.0,Pendingcxl,1,10.0,500.0,0,1.0,A_011,C_101
CUST_0055,Scott Jones,martinreid@example.net,Argentina,Female,58.0,2023-01-08,2023-01-09,2023-01-10,1.0,Transient,Full Board,l,Complementary,No Deposit,Contract,0,1.0,0.0,955,440,1.0,4.0,Check-Out,10,7.0,0.0,0,0.0,A_030,C_101
CUST_0056,Michael Lewis,tiffany71@example.com,France,Other,85.0,2023-01-09,2023-01-10,2023-01-11,0.0,Adults,Bb,F,Online Ta,Non-Refund,Transient,1,14.0,50.0,268,395,1.0,0.0,Check-Out,4,10.0,0.0,0,2.0,A_021,C_103
CUST_0057,Taylor Duncan,franklinbrenda@example.com,Japan,Male,73.0,2023-01-09,2023-01-10,2023-01-11,4.0,Adults,Sc,F,Aviation,Refundable,Group,0,1.0,120.0,1225,105,,2.0,Canceled,,6.9082020640956,100.0,0,0.0,A_031,C_101
CUST_0058,Richard Aguirre,wesleybush@example.org,United Kingdom,Non-Binary,36.0,2023-01-09,2023-01-10,2023-01-11,5.0,Family,Bed & Breakfast,P,Online Ta,No Deposit,Transient-Party,0,7.0,80.0,1490,30,1.0,0.0,No-Show,1,1.5,0.0,0,1.0,A_047,Unknown
CUST_0059,Anne Jordan,andrewblake@example.org,France,Non-Binary,51.0,2023-01-09,2023-01-10,2023-01-11,2.0,Transient,Bed & Breakfast,g,Groups,No Deposit,Transient,2,5.0,120.0,916,217,1.0,1.0,No-Show,4,6.9082020640956,0.0,0,0.0,Unknown,C_105
CUST_0061,William Garcia,brownnicholas@example.com,Italy,Female,58.0,2023-01-09,2023-01-10,2023-01-11,4.0,Family,Sc,P,Direct,Refundable,Contract,10,23.5,250.0,124,445,1.0,0.0,No-Show,,5.0,200.0,,3.0,A_027,Unknown
CUST_0062,Gerald Hensley,edwardharris@example.org,United Kingdom,Female,54.0,2023-01-09,2023-01-10,2023-01-11,0.0,Children,Sc,h,Online Ta,Refundable,Transient,0,4.0,50.0,619,236,0.0,0.0,Pendingcxl,9,2.0,200.0,,3.0,A_028,C_102
CUST_0063,Connor West,sandrageorge@example.com,United Kingdom,Female,34.0,2023-01-10,2023-01-11,2023-01-12,0.0,Children,Bb,H,Offline Ta/To,No Deposit,Transient,2,10.0,150.0,1311,11,,3.0,Check-Out,7,10.0,0.0,0,1.0,A_013,C_101
CUST_0064,Donald Wright,dennis50@example.net,Canada,Female,81.0,2023-01-10,2023-01-11,2023-01-12,0.0,Group,Sc,H,Direct,No Deposit,Transient,0,23.5,300.0,98,6,,4.0,Check-Out,2,4.0,0.0,0,2.0,A_027,C_105
CUST_0065,Jeremy Callahan,swong@example.org,Brazil,Male,53.0,2023-01-10,2023-01-11,2023-01-12,0.0,Single,Bb,P,Groups,Refundable,Contract,4,2.0,0.0,398,176,2.0,0.0,Check-Out,,3.0,0.0,0,0.0,A_033,C_102
CUST_0066,Anthony Kidd,melanierivera@example.org,USA,Female,64.0,2023-01-10,2023-01-11,2023-01-12,4.0,Couple,Bed & Breakfast,C,Complementary,No Deposit,Transient,4,7.0,150.0,240,304,,2.0,Canceled,6,7.0,50.0,0,2.0,A_002,C_103
CUST_0067,Tracy House,amberknox@example.net,United Kingdom,Female,73.0,2023-01-10,2023-01-11,2023-01-12,2.0,Children,Sc,F,Corporate,Non Refund,Group,2,14.0,505.0,598,311,0.0,,Pendingcxl,4,6.9082020640956,0.0,0,2.0,A_023,C_101
CUST_0068,Carol Tucker,lauriehorton@example.org,Spain,Male,54.0,2023-01-10,2023-01-11,2023-01-12,0.0,Family,Full Board,A,Offline Ta/To,No Deposit,Transient,1,23.5,300.0,636,143,,0.0,Canceled,excellent,10.0,50.0,0,2.0,A_014,C_102
CUST_0069,Jennifer Brown,lboyd@example.com,Usa,Non-Binary,51.0,2023-01-10,2023-01-11,2023-01-12,4.0,Adults,Bed & Breakfast,P,Offline Ta/To,Refundable,Transient-Party,0,0.0,80.0,651,206,,0.0,No-Show,excellent,6.9082020640956,500.0,,2.0,A_032,C_105
CUST_0070,Victoria Baker,browntravis@example.org,Portugal,Male,51.0,2023-01-11,2023-01-12,2023-01-13,3.0,Transient,Fb,a,Offline Ta/To,Non Refundable,Transient-Party,3,2.0,0.0,226,467,0.0,0.0,No-Show,5,10.0,0.0,0,0.0,A_013,C_101
CUST_0071,Jordan Henderson,waltersdonald@example.org,Spain,Non-Binary,84.0,2023-01-11,2023-01-12,2023-01-13,1.0,Children,Bb,g,Aviation,Refundable,Transient,1,2.0,0.0,780,305,1.0,2.0,Confirmed,5,9.0,50.0,0,0.0,A_034,C_104
CUST_0072,Zachary Peters,christopherwatkins@example.org,France,Female,58.0,2023-01-11,2023-01-12,2023-01-13,0.0,Adults,Fb,f,Aviation,Non Refundable,Contract,5,7.0,50.0,734,441,0.0,0.0,Check-Out,3,1.5,0.0,0,0.0,A_004,C_101
CUST_0073,Christopher Phillips,williamsimmons@example.com,Germany,Male,73.0,2023-01-11,2023-01-12,2023-01-13,1.0,Children,Bed & Breakfast,h,Offline Ta/To,Non-Refund,Group,0,1.0,120.0,1262,428,0.0,0.0,Confirmed,4,6.9082020640956,50.0,0,3.0,A_001,C_102
CUST_0075,Kevin Shaw,catherineturner@example.net,Brazil,Other,58.0,2023-01-11,2023-01-12,2023-01-13,1.0,Single,Fb,P,Online,Refundable,Contract,2,1.0,50.0,966,203,,2.0,Canceled,poor,8.0,0.0,,2.0,A_050,
CUST_0076,Brooke Yu,mfaulkner@example.com,Portugal,Female,80.0,2023-01-11,2023-01-12,2023-01-13,3.0,Group,Bed & Breakfast,F,Direct,Non Refundable,Transient-Party,5,2.0,120.0,622,203,0.0,0.0,Pending,4,6.9082020640956,100.0,0,1.0,A_034,C_103
CUST_0077,Cody Larson,xmiller@example.com,France,Female,37.0,2023-01-12,2023-01-13,2023-01-14,3.0,Children,Bed & Breakfast,E,Online Ta,Non Refund,Transient-Party,0,10.0,200.0,515,351,1.0,0.0,Check-Out,3,9.0,500.0,0,0.0,A_010,C_102
CUST_0078,Cynthia Wilson,cjackson@example.com,Usa,Female,89.0,2023-01-12,2023-01-13,2023-01-14,1.0,Transient,Bed & Breakfast,g,Offline Ta/To,Refundable,Contract,4,3.0,80.0,525,309,0.0,,Canceled,1,6.9082020640956,100.0,0,2.0,A_013,C_104
CUST_0079,Danielle Wheeler,ywolf@example.com,Usa,Female,74.0,2023-01-12,2023-01-13,2023-01-14,2.0,Family,Sc,h,Direct,Non Refund,Contract,0,10.0,150.0,527,125,0.0,3.0,Check-Out,excellent,4.0,50.0,0,2.0,A_013,C_104
CUST_0081,Timothy Harris,brooke28@example.net,United Kingdom,Female,42.0,2023-01-12,2023-01-13,2023-01-14,2.0,Couple,Bed & Breakfast,c,Online Ta,Refundable,Contract,0,1.0,0.0,1405,366,,4.0,No-Show,6,10.0,0.0,0,3.0,A_003,C_101
CUST_0083,Elijah Stewart,nicholas97@example.org,Germany,Male,24.0,2023-01-12,2023-01-13,2023-01-14,5.0,Adults,Bed & Breakfast,f,Direct,No Deposit,Transient-Party,4,1.0,120.0,670,392,1.0,4.0,Confirmed,4,4.0,100.0,0,1.0,A_030,C_102
CUST_0085,Dr. Angel Lewis MD,adamhensley@example.net,France,Female,41.0,2023-01-13,2023-01-14,2023-01-15,5.0,Children,Sc,c,Groups,No Deposit,Transient,0,10.0,100.0,1206,111,1.0,4.0,Confirmed,10,3.0,100.0,0,1.0,A_006,C_101
CUST_0086,Shirley Suarez,travis66@example.net,Brazil,Female,22.0,2023-01-13,2023-01-14,2023-01-15,5.0,Couple,Undefined,C,Corporate,No Deposit,Transient-Party,3,7.0,0.0,883,353,,4.0,Canceled,3,4.0,100.0,0,0.0,A_039,C_101
CUST_0088,Logan Archer,hdyer@example.com,France,Non-Binary,51.0,2023-01-13,2023-01-14,2023-01-15,3.0,Group,Hb,l,Online,Non Refund,Group,0,0.0,150.0,751,30,,1.0,Canceled,2,8.0,200.0,0,,A_038,C_102
CUST_0089,Aimee Montoya,jamesgraham@example.com,United Kingdom,Female,38.0,2023-01-13,2023-01-14,2023-01-15,1.0,Adults,Undefined,g,Offline Ta/To,No Deposit,Contract,0,4.0,80.0,816,14,1.0,3.0,No-Show,9,10.0,0.0,0,2.0,A_035,C_101
CUST_0090,Mary Mcmillan,william75@example.net,Spain,Male,77.0,2023-01-13,2023-01-14,2023-01-15,0.0,Transient,Hb,p,Groups,Non Refund,Contract,1,23.5,0.0,381,252,,0.0,Pendingcxl,good,6.0,200.0,0,3.0,A_011,
CUST_0091,Ashley Rodriguez,curtissara@example.net,Australia,Non-Binary,73.0,2023-01-14,2023-01-15,2023-01-16,1.0,Single,Bed & Breakfast,d,Online Ta,Refundable,Group,0,5.0,80.0,518,55,,0.0,Canceled,1,6.9082020640956,500.0,0,1.0,A_019,C_103
CUST_0092,Dominic Jacobs,johnjohnson@example.com,Japan,Male,54.0,2023-01-14,2023-01-15,2023-01-16,0.0,Group,Hb,d,Online,Non Refundable,Group,0,14.0,150.0,1212,380,,1.0,Canceled,5,9.0,0.0,0,0.0,A_030,C_101
CUST_0093,Dalton Walters,terrydeanna@example.com,Canada,Female,81.0,2023-01-14,2023-01-15,2023-01-16,2.0,Children,Bed & Breakfast,A,Corporate,Non Refundable,Contract,4,7.0,300.0,273,348,1.0,3.0,No-Show,good,9.0,0.0,0,1.0,A_032,C_101
CUST_0094,Katherine Whitehead,jblackburn@example.com,Germany,Female,23.0,2023-01-14,2023-01-15,2023-01-16,2.0,Children,Bed & Breakfast,l,Corporate,Non-Refund,Group,0,0.0,0.0,1033,162,,1.0,Check-Out,4,7.0,0.0,0,3.0,A_004,C_105
CUST_0095,Anna Henderson,carrielynn@example.org,United Kingdom,Female,74.0,2023-01-14,2023-01-15,2023-01-16,0.0,Transient,Bb,c,Online,Non Refund,Transient,10,14.0,50.0,1442,267,,,Pending,5,6.9082020640956,0.0,0,1.0,A_041,C_101
CUST_0097,Dennis Figueroa,lsanders@example.org,United Kingdom,Male,89.0,2023-01-14,2023-01-15,2023-01-16,2.0,Family,Bed & Breakfast,h,Online Ta,Refundable,Contract,5,23.5,120.0,482,4,0.0,0.0,Check-Out,5,7.0,50.0,0,3.0,A_030,C_101
CUST_0098,Jeffrey Smith,nancymartin@example.com,France,Male,80.0,2023-01-15,2023-01-16,2023-01-17,0.0,Single,Undefined,L,Complementary,Refundable,Group,0,4.0,150.0,529,400,2.0,1.0,Confirmed,3,5.0,0.0,0,1.0,A_024,
CUST_0099,Stephen Mckee,heather88@example.net,Portugal,Male,76.0,2023-01-15,2023-01-16,2023-01-17,2.0,Group,Bb,e,Corporate,Refundable,Transient,5,7.0,300.0,787,13,1.0,3.0,No-Show,1,6.9082020640956,50.0,0,0.0,A_007,C_101
CUST_0100,Ruben Aguilar,uwillis@example.com,Germany,Other,81.0,2023-01-15,2023-01-16,2023-01-17,0.0,Children,Hb,G,Online Ta,No Deposit,Transient,1,5.0,100.0,549,296,1.0,0.0,Confirmed,,6.9082020640956,0.0,0,0.0,A_034,C_103
CUST_0103,Daniel Wright,ahale@example.org,Italy,Male,33.0,2023-01-15,2023-01-16,2023-01-17,1.0,Adults,Sc,H,Corporate,Refundable,Transient-Party,1,4.0,0.0,687,467,2.0,4.0,Check-Out,3,3.0,0.0,0,3.0,A_009,C_101
CUST_0104,Richard Henson,esmith@example.net,France,Male,62.0,2023-01-16,2023-01-17,2023-01-18,1.0,Transient,Half Board,f,Aviation,Refundable,Transient-Party,0,7.0,200.0,1314,33,,0.0,Canceled,good,6.0,50.0,0,1.0,A_007,
CUST_0105,Lisa Moore,pwarren@example.com,United Kingdom,Male,29.0,2023-01-16,2023-01-17,2023-01-18,3.0,Adults,Undefined,L,Aviation,Refundable,Transient-Party,10,14.0,80.0,1472,140,,0.0,Check-Out,5,10.0,0.0,0,0.0,A_001,C_101
CUST_0106,Sean Cherry,xjackson@example.org,Portugal,Female,44.0,2023-01-16,2023-01-17,2023-01-18,4.0,Family,Bed & Breakfast,c,Groups,Non Refundable,Transient-Party,4,2.0,120.0,1249,335,0.0,4.0,Check-Out,poor,2.0,100.0,0,0.0,A_037,C_103
CUST_0107,Sierra Johnson,jameswhite@example.org,Germany,Female,54.0,2023-01-16,2023-01-17,2023-01-18,2.0,Group,Full Board,d,Corporate,Non Refund,Contract,1,0.0,300.0,1245,24,1.0,4.0,Pendingcxl,4,6.9082020640956,0.0,0,1.0,A_033,C_102
CUST_0108,Evelyn Galvan,nbradley@example.org,United Kingdom,Female,41.0,2023-01-16,2023-01-17,2023-01-18,4.0,Single,Bed & Breakfast,e,Offline Ta/To,No Deposit,Transient,0,23.5,120.0,418,286,,3.0,Check-Out,6,9.0,0.0,0,1.0,A_043,C_101
CUST_0109,Sharon Cochran,brianwhite@example.org,Unknown,Female,39.0,2023-01-16,2023-01-17,2023-01-18,1.0,Transient,Bed & Breakfast,f,Online Ta,Non-Refund,Contract,2,2.0,505.0,837,215,0.0,4.0,Pending,,2.0,0.0,0,0.0,A_041,C_104
CUST_0110,Richard Rodriguez,tonya67@example.net,France,Male,83.0,2023-01-16,2023-01-17,2023-01-18,5.0,Group,Hb,c,Corporate,No Deposit,Group,3,5.0,50.0,1333,101,1.0,,Check-Out,good,6.9082020640956,0.0,,0.0,Unknown,C_101
CUST_0111,Scott Walker,oneillgabriel@example.com,Portugal,Female,52.0,2023-01-17,2023-01-18,2023-01-19,3.0,Transient,Bb,P,Direct,Non Refund,Contract,0,0.0,0.0,877,127,,0.0,Pending,fair,3.0,500.0,,0.0,A_042,C_101
CUST_0112,Julia Torres,grayjoshua@example.com,France,Non-Binary,54.0,2023-01-17,2023-01-18,2023-01-19,1.0,Single,Hb,a,Online Ta,No Deposit,Group,0,10.0,200.0,762,93,2.0,4.0,Check-Out,,6.9082020640956,0.0,1,0.0,A_001,C_102
CUST_0113,Darren Johnson,richardstimothy@example.net,United Kingdom,Non-Binary,18.0,2023-01-17,2023-01-18,2023-01-19,5.0,Family,Fb,P,Online Ta,No Deposit,Transient,0,14.0,120.0,489,110,,,Canceled,good,10.0,0.0,0,1.0,A_027,C_101
CUST_0114,Erin Lin,smithjoseph@example.org,Germany,Non-Binary,85.0,2023-01-17,2023-01-18,2023-01-19,5.0,Transient,Fb,f,Online,Non Refund,Transient-Party,2,23.5,100.0,840,152,0.0,2.0,Pendingcxl,excellent,10.0,200.0,0,0.0,A_001,C_102
CUST_1276,Mary Faulkner,kelli08@example.org,United Kingdom,Female,79.0,2023-07-05,2023-07-06,2023-07-07,4.0,Transient,Hb,c,Groups,Non Refund,Transient-Party,0,2.0,100.0,1298,330,,0.0,Confirmed,fair,6.9082020640956,500.0,0,1.0,A_038,C_101
CUST_0116,Joshua Crosby Jr.,wmorrison@example.com,Germany,Other,71.0,2023-01-17,2023-01-18,2023-01-19,4.0,Children,Fb,A,Groups,Non Refund,Transient,5,5.0,250.0,1306,432,0.0,0.0,Confirmed,,10.0,0.0,0,1.0,A_026,
CUST_1134,Jamie Howard,ilucero@example.com,France,Female,23.0,2023-06-15,2023-06-16,2023-06-17,5.0,Couple,Hb,D,Aviation,No Deposit,Transient,3,3.0,0.0,560,237,,4.0,No-Show,2,1.5,50.0,0,1.0,A_043,C_101
CUST_0118,Jeffrey Chandler,rrogers@example.com,Japan,Female,49.0,2023-01-18,2023-01-19,2023-01-20,2.0,Adults,Hb,E,Groups,Non Refundable,Contract,0,4.0,50.0,1376,409,1.0,0.0,Confirmed,9,1.5,50.0,0,1.0,A_034,C_101
