Order ID,Order Date,Ship Date,Customer Name,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-11220,2022-07-27,2022-08-06,Steven Rodriguez,Home Office,North,New York,Technology,Chairs,702.18,3,0.47,
ORD-58434,2021-08-06,2021-08-09,James Perez,Corporate,East,Delaware,Technology,Copiers,2563.21,9,0.15,729.83
ORD-27601,2021-06-25,2021-06-27,Susan Thompson,Consumer,South,Georgia,Office Supplies,Labels,1732.21,6,0.1,200.93
ORD-74032,2021-05-29,2021-06-12,James Hernandez,Consumer,North,Michigan,Office Supplies,Binders,282.25,3,0.32,3.16
ORD-82309,2023-12-16,2023-12-23,Paul Johnson,Home Office,North,New York,Furniture,Tables,351.75,6,0.29,28.79
ORD-50404,2022-01-16,2022-01-29,Michael Lopez,Consumer,East,Connecticut,Technology,Chairs,1053.96,9,0.44,-7.27
ORD-30257,2021-04-29,2021-05-13,Lisa Sanchez,Consumer,South,North Carolina,Furniture,Tables,1820.24,7,0.4,
ORD-44970,2020-11-22,2020-12-05,Joseph Miller,Home Office,North,Michigan,Furniture,Furnishings,2736.08,8,0.17,732.81
ORD-39219,2020-02-18,2020-02-29,Sarah Lopez,Consumer,West,Arizona,Office Supplies,Binders,3533.47,9,0.2,650.35
ORD-13617,2020-08-24,2020-08-29,Daniel White,Consumer,East,New Jersey,Furniture,Furnishings,2303.87,6,0.22,181.8
ORD-85574,2021-01-24,2021-01-29,Richard Lopez,Consumer,West,California,Technology,Copiers,2277.91,7,0.03,301.94
ORD-51145,2023-09-20,2023-10-04,Charles Gonzalez,Consumer,East,Delaware,Office Supplies,Envelopes,374.4,5,0.28,80.96
ORD-59695,2023-10-19,2023-10-31,Karen Martinez,Consumer,East,Maryland,Technology,Phones,929.64,4,,198.64
ORD-70946,2022-06-23,2022-07-01,Jennifer Martinez,Home Office,South,Virginia,Office Supplies,Paper,1890.04,9,0.33,-162.53
ORD-40784,2023-10-09,2023-10-14,Jessica Thomas,Consumer,South,Florida,Furniture,Chairs,265.0,10,0.42,-10.03
ORD-92544,2023-03-24,2023-03-28,Elizabeth Lee,Home Office,West,Nevada,Office Supplies,Paper,237.39,1,0.45,7.79
ORD-65724,2021-03-24,2021-03-27,Linda Anderson,Home Office,West,California,Technology,Chairs,606.8,3,0.4,29.24
ORD-88047,2021-10-11,2021-10-24,Donald Anderson,Corporate,West,Colorado,Office Supplies,Paper,1306.74,5,0.38,-76.32
ORD-78327,2022-09-19,2022-09-30,Jessica Rodriguez,Consumer,East,Maryland,Furniture,Bookcases,1384.34,6,0.16,117.11
ORD-40311,2022-02-23,2022-03-07,Lisa Moore,Consumer,South,Texas,Office Supplies,Envelopes,703.73,8,0.21,109.1
ORD-86556,2023-11-25,2023-11-26,Karen Harris,Home Office,West,Nevada,Furniture,Bookcases,1903.95,7,0.43,-70.73
ORD-81582,2023-05-20,2023-05-24,Mary Gonzalez,Corporate,South,Georgia,Office Supplies,Envelopes,1612.38,6,0.33,13.91
ORD-71261,2020-09-18,2020-09-28,Mary Williams,Home Office,North,Michigan,Technology,Copiers,1537.86,7,0.07,96.23
ORD-59689,2021-11-01,2021-11-05,Anthony Rodriguez,Corporate,East,Massachusetts,Office Supplies,Art,573.07,2,0.24,36.12
ORD-55870,2021-04-04,2021-04-15,Mary Martin,Consumer,North,New York,Furniture,Tables,638.99,3,0.12,50.22
ORD-38569,2022-08-10,2022-08-22,Linda Harris,Corporate,East,Connecticut,Technology,Copiers,98.23,3,0.48,-9.44
ORD-50888,2023-03-25,2023-04-05,Michael Thompson,Corporate,West,Washington,Furniture,Tables,866.97,5,,-70.95
ORD-84177,2020-03-25,2020-03-31,James Ramirez,Home Office,West,Arizona,Furniture,Bookcases,254.86,7,0.41,11.24
ORD-93307,2022-07-30,2022-08-11,Sarah Martin,Consumer,West,Washington,Technology,Copiers,1305.47,9,0.39,31.15
ORD-87656,2021-07-03,2021-07-09,Sandra Jackson,Consumer,North,Ohio,Office Supplies,Paper,1171.36,10,0.33,-30.28
ORD-52600,2021-01-07,2021-01-15,Joshua Thompson,Consumer,East,Massachusetts,Office Supplies,Art,947.34,5,0.28,92.62
ORD-41635,2022-04-12,2022-04-20,Mark Sanchez,Home Office,South,North Carolina,Technology,Machines,112.65,1,0.05,25.11
ORD-50135,2023-09-21,2023-10-01,Margaret White,Corporate,West,Colorado,Technology,Accessories,2647.37,9,0.17,311.67
ORD-42951,2021-04-17,2021-04-19,Richard Miller,Home Office,South,Georgia,Furniture,Tables,2056.43,8,0.14,493.65
ORD-88222,2021-08-02,2021-08-04,Karen Smith,Consumer,East,Connecticut,Office Supplies,Paper,273.26,9,0.06,17.39
ORD-48290,2023-11-29,2023-12-02,Donald Thomas,Home Office,West,California,Furniture,Bookcases,3207.72,8,0.17,362.86
ORD-72616,2020-08-21,2020-09-04,Elizabeth Jones,Consumer,West,Nevada,Furniture,Chairs,274.22,10,0.47,-17.21
ORD-83147,2022-05-02,2022-05-12,Mark Martinez,Home Office,South,Virginia,Office Supplies,Envelopes,798.2,10,0.5,-5.46
ORD-89905,2020-07-22,2020-08-04,William Davis,Consumer,South,Georgia,Technology,Phones,187.27,3,0.28,28.49
ORD-87832,2022-08-20,2022-08-25,Sandra Williams,Consumer,South,Georgia,Technology,Accessories,855.45,4,0.46,-5.34
ORD-96662,2021-02-09,2021-02-16,John Johnson,Consumer,South,Florida,Office Supplies,Paper,542.83,3,0.4,12.83
ORD-47828,2022-06-18,2022-06-20,Paul Thomas,Corporate,East,Maryland,Office Supplies,Labels,226.79,8,0.04,35.83
ORD-52247,2023-05-21,2023-05-26,Emily Smith,Consumer,North,Pennsylvania,Technology,Copiers,1362.92,5,0.29,
ORD-78021,2023-08-27,2023-09-04,Jennifer Thomas,Corporate,South,Virginia,Office Supplies,Envelopes,803.14,6,0.2,61.16
ORD-31079,2021-11-06,2021-11-13,Kimberly Johnson,Home Office,West,Arizona,Technology,Machines,1026.66,8,0.04,81.09
ORD-62976,2022-11-19,2022-12-03,Dorothy Lopez,Consumer,West,Nevada,Furniture,Tables,1961.99,10,0.38,27.47
ORD-36680,2021-06-30,2021-07-09,Linda Smith,Consumer,East,Maryland,Technology,Machines,2146.74,10,0.4,-114.61
ORD-11792,2023-02-05,2023-02-12,Elizabeth Thomas,Consumer,South,Texas,Office Supplies,Binders,539.92,5,0.25,139.67
ORD-71894,2021-05-14,2021-05-22,John Rodriguez,Home Office,South,North Carolina,Furniture,Tables,2300.64,7,0.17,268.7
ORD-10336,2021-08-02,2021-08-14,Donald Lopez,Corporate,West,Washington,Office Supplies,Labels,1193.53,6,0.28,195.54
ORD-52176,2021-01-21,2021-02-02,Charles White,Consumer,West,Washington,Office Supplies,Binders,2119.47,8,0.35,-89.2
ORD-96991,2023-08-28,2023-08-31,Lisa Ramirez,Corporate,North,Pennsylvania,Technology,Copiers,252.84,2,0.44,-5.34
ORD-69890,2020-02-01,2020-02-13,Thomas Hernandez,Consumer,West,Washington,Furniture,Furnishings,2134.73,10,0.35,59.27
ORD-98389,2022-12-28,2023-01-04,Jessica Lee,Corporate,West,Colorado,Furniture,Chairs,939.8,5,0.5,-32.8
ORD-22903,2023-07-21,2023-08-02,Mary Johnson,Consumer,West,Washington,Technology,Accessories,553.5,6,0.4,-24.23
ORD-29080,2021-05-15,2021-05-24,Donna Ramirez,Corporate,South,Florida,Furniture,Chairs,618.29,7,0.31,22.83
ORD-28758,2021-04-20,2021-04-28,Sandra Lewis,Home Office,East,Maryland,Office Supplies,Binders,288.45,5,0.34,
ORD-55293,2023-04-18,2023-04-23,Richard Gonzalez,Home Office,West,Arizona,Office Supplies,Art,1496.21,8,,209.08
ORD-48780,2023-12-03,2023-12-08,Joshua White,Consumer,West,Arizona,Furniture,Chairs,2099.32,8,0.42,34.35
ORD-40162,2023-05-28,2023-06-10,David Lee,Corporate,South,Florida,Technology,Accessories,359.38,2,0.45,-19.28
ORD-67779,2020-03-09,2020-03-19,Anthony Garcia,Corporate,South,Texas,Office Supplies,Art,1020.43,4,0.07,298.86
ORD-79579,2022-10-24,2022-10-29,Linda Anderson,Consumer,East,Maryland,Office Supplies,Art,899.48,2,0.07,
ORD-98395,2022-03-24,2022-04-07,Thomas Moore,Home Office,East,New Jersey,Office Supplies,Binders,523.12,2,0.23,114.08
ORD-86619,2022-02-19,2022-03-05,Donald Smith,Home Office,East,New Jersey,Technology,Chairs,1596.5,10,0.44,59.53
ORD-39015,2023-08-19,2023-08-21,Linda Jones,Home Office,West,Arizona,Technology,Machines,84.34,1,0.47,-2.2
ORD-22739,2021-04-25,2021-05-04,Anthony Jackson,Consumer,West,Nevada,Office Supplies,Labels,555.93,3,0.44,13.93
ORD-90694,2022-04-15,2022-04-20,Jessica Ramirez,Consumer,East,Connecticut,Office Supplies,Envelopes,1972.09,6,0.05,367.04
ORD-94518,2022-01-04,2022-01-05,Jennifer Perez,Corporate,East,Connecticut,Furniture,Furnishings,823.07,4,0.32,-79.67
ORD-53713,2021-05-13,2021-05-16,Emily Miller,Home Office,South,Texas,Technology,Chairs,276.53,4,0.16,76.08
ORD-10371,2021-07-21,2021-08-04,Linda Perez,Consumer,South,Virginia,Office Supplies,Paper,172.55,1,0.07,42.64
ORD-87182,2021-10-25,2021-10-26,Dorothy Brown,Consumer,East,New Jersey,Furniture,Furnishings,594.67,2,0.24,106.04
ORD-24293,2022-07-14,2022-07-23,Mary Johnson,Consumer,North,Illinois,Office Supplies,Envelopes,1015.56,8,0.42,-85.11
ORD-68138,2020-05-30,2020-06-01,Donna Lee,Corporate,South,Texas,Furniture,Bookcases,1236.18,10,0.27,369.19
ORD-79541,2021-08-26,2021-09-03,Kimberly White,Home Office,West,California,Technology,Phones,1388.9,4,0.22,213.13
ORD-69441,2022-03-27,2022-04-03,Thomas Lopez,Home Office,North,Ohio,Office Supplies,Art,479.93,3,0.34,-41.43
ORD-21188,2020-07-09,2020-07-16,Emily Moore,Consumer,East,Connecticut,Technology,Phones,528.37,9,0.16,73.13
ORD-97207,2022-05-16,2022-05-30,Daniel Brown,Home Office,North,Ohio,Technology,Accessories,643.65,10,0.25,109.77
ORD-24184,2021-12-18,2022-01-01,Joseph Sanchez,Home Office,East,New Jersey,Office Supplies,Labels,1979.37,7,0.42,45.06
ORD-90422,2023-10-14,2023-10-25,Mary Garcia,Home Office,North,Illinois,Technology,Accessories,524.55,5,0.35,-25.72
ORD-10800,2021-01-06,2021-01-20,Jennifer White,Consumer,West,California,Furniture,Chairs,1727.92,9,0.11,233.66
ORD-58503,2021-09-30,2021-10-12,Donna Johnson,Corporate,North,New York,Furniture,Tables,575.08,2,0.14,98.58
ORD-67939,2022-04-28,2022-05-03,Christopher Perez,Consumer,North,Ohio,Office Supplies,Binders,2560.36,10,0.24,157.09
ORD-61807,2023-05-12,2023-05-13,Thomas Martinez,Consumer,South,Georgia,Furniture,Tables,1430.98,6,0.06,225.61
ORD-26932,2022-02-17,2022-02-26,John Gonzalez,Home Office,South,Virginia,Technology,Accessories,183.52,1,0.22,
ORD-51033,2023-03-25,2023-04-01,Betty Smith,Home Office,West,Nevada,Office Supplies,Binders,2589.84,6,,427.39
ORD-57428,2020-06-29,2020-07-06,Dorothy Williams,Consumer,South,North Carolina,Technology,Machines,1471.72,7,0.44,-98.26
ORD-32037,2020-06-05,2020-06-14,Daniel Lopez,Home Office,North,Illinois,Technology,Chairs,215.85,3,0.12,21.44
ORD-88957,2020-11-09,2020-11-22,Sandra Harris,Home Office,North,Pennsylvania,Technology,Machines,1425.75,10,0.38,55.07
ORD-83989,2023-08-09,2023-08-20,John Thomas,Home Office,East,Massachusetts,Furniture,Furnishings,2177.09,8,0.32,-24.57
ORD-56129,2022-11-05,2022-11-07,Nancy Clark,Corporate,West,Nevada,Furniture,Chairs,2080.7,5,0.04,548.94
ORD-90610,2023-05-01,2023-05-10,Mark Robinson,Corporate,West,Colorado,Technology,Phones,1122.58,10,0.33,-32.17
ORD-29773,2020-05-06,2020-05-14,Robert Davis,Consumer,East,New Jersey,Technology,Chairs,1067.16,8,0.5,-9.1
ORD-57696,2022-02-02,2022-02-07,Patricia Sanchez,Corporate,West,Arizona,Technology,Copiers,327.72,6,0.03,71.97
ORD-47243,2021-05-31,2021-06-12,Daniel Martinez,Home Office,South,Georgia,Furniture,Tables,2351.23,7,0.06,167.36
ORD-83259,2022-02-10,2022-02-21,Steven Lopez,Corporate,South,Virginia,Furniture,Furnishings,80.63,1,0.18,8.35
ORD-73736,2021-01-28,2021-02-01,Steven Harris,Consumer,South,Texas,Office Supplies,Binders,2312.46,9,0.42,-218.15
ORD-54140,2023-06-19,2023-06-22,Donna Sanchez,Home Office,West,Washington,Furniture,Tables,60.31,3,0.36,-2.74
ORD-41133,2022-06-28,2022-07-08,Karen Sanchez,Corporate,West,Washington,Technology,Chairs,462.31,8,0.45,0.81
ORD-84766,2022-06-21,2022-06-29,William Clark,Corporate,West,Colorado,Technology,Machines,186.77,4,0.4,-11.67
ORD-94040,2022-09-11,2022-09-25,Jennifer Harris,Corporate,North,Illinois,Furniture,Bookcases,1170.29,3,0.14,101.62
ORD-67340,2020-07-06,2020-07-10,Betty Taylor,Corporate,East,New Jersey,Office Supplies,Binders,2625.85,6,,377.41
ORD-13694,2021-10-14,2021-10-16,Christopher Robinson,Home Office,East,Connecticut,Furniture,Chairs,405.65,8,0.35,2.37
ORD-68799,2023-06-14,2023-06-15,Kimberly White,Consumer,North,Ohio,Furniture,Tables,477.15,10,0.26,58.22
ORD-49472,2020-09-06,2020-09-07,Linda Clark,Consumer,West,Colorado,Office Supplies,Binders,101.08,8,0.3,18.08
ORD-41711,2020-10-21,2020-10-26,Andrew Wilson,Corporate,North,Illinois,Office Supplies,Paper,104.42,3,0.33,4.82
ORD-18870,2022-12-13,2022-12-22,Matthew Lopez,Home Office,North,Michigan,Office Supplies,Binders,582.69,5,0.37,-52.36
ORD-41604,2023-09-07,2023-09-18,Paul Hernandez,Consumer,East,Connecticut,Furniture,Bookcases,601.15,3,0.42,28.33
ORD-72722,2023-07-17,2023-07-20,Richard Johnson,Consumer,North,Michigan,Furniture,Bookcases,368.79,4,0.44,-19.73
ORD-62196,2023-01-17,2023-01-25,Patricia Ramirez,Corporate,North,Pennsylvania,Office Supplies,Art,2072.67,6,0.14,330.05
ORD-62431,2022-06-19,2022-06-26,Nancy Robinson,Corporate,South,North Carolina,Technology,Machines,395.26,9,0.13,61.71
ORD-66440,2023-05-18,2023-06-01,Charles Perez,Consumer,East,Massachusetts,Furniture,Chairs,1297.44,5,0.15,203.09
ORD-68183,2021-12-20,2021-12-28,Patricia Williams,Consumer,East,Delaware,Office Supplies,Art,2310.58,7,0.18,507.99
ORD-14081,2020-10-19,2020-11-02,Jessica Harris,Home Office,West,California,Furniture,Chairs,2338.18,6,0.18,135.84
ORD-30111,2023-10-22,2023-10-30,Dorothy Lopez,Corporate,East,Maryland,Furniture,Tables,861.77,7,0.16,250.03
ORD-13396,2021-01-16,2021-01-24,Thomas Thompson,Home Office,West,Colorado,Furniture,Bookcases,2205.92,8,0.11,493.01
ORD-74382,2021-02-13,2021-02-15,Jennifer Sanchez,Consumer,North,Michigan,Furniture,Furnishings,1437.83,6,0.33,-25.16
ORD-48058,2021-09-06,2021-09-20,Linda Miller,Consumer,South,Georgia,Technology,Chairs,665.46,3,0.12,93.31
ORD-85009,2022-01-25,2022-02-02,Karen Gonzalez,Home Office,South,Virginia,Furniture,Chairs,2290.39,8,0.26,585.96
ORD-19666,2020-09-13,2020-09-19,Daniel Jones,Home Office,North,Michigan,Office Supplies,Labels,606.86,9,0.32,27.27
ORD-66704,2022-10-26,2022-11-09,William Garcia,Consumer,North,Illinois,Furniture,Bookcases,383.13,6,0.47,16.14
ORD-78012,2021-08-04,2021-08-18,Sarah Jones,Consumer,East,Connecticut,Technology,Copiers,192.44,5,0.31,-0.74
ORD-87569,2023-04-04,2023-04-07,Jennifer Johnson,Consumer,East,Delaware,Furniture,Chairs,985.71,10,0.13,190.28
ORD-91016,2023-08-01,2023-08-02,Betty Martinez,Corporate,East,Massachusetts,Office Supplies,Paper,302.28,8,0.04,48.33
ORD-73471,2022-08-09,2022-08-13,Daniel Gonzalez,Corporate,South,Georgia,Technology,Accessories,487.95,3,0.38,-41.02
ORD-41685,2022-08-13,2022-08-15,Patricia Martinez,Corporate,West,Washington,Furniture,Chairs,857.41,7,0.43,38.07
ORD-30932,2021-11-01,2021-11-11,Steven Anderson,Home Office,East,Connecticut,Furniture,Furnishings,1136.62,8,0.44,-98.31
ORD-61543,2022-11-01,2022-11-09,Patricia Martinez,Consumer,South,Virginia,Office Supplies,Binders,2368.8,8,0.3,516.71
ORD-47453,2023-01-04,2023-01-05,Betty Lopez,Consumer,West,Washington,Office Supplies,Art,231.55,1,0.2,22.85
ORD-82512,2021-08-14,2021-08-16,Donna Brown,Corporate,West,Colorado,Office Supplies,Labels,310.61,3,0.49,5.97
ORD-54444,2023-02-16,2023-02-22,Steven Johnson,Consumer,South,Virginia,Technology,Machines,352.47,1,0.02,88.47
ORD-78069,2022-07-24,2022-07-27,William Gonzalez,Home Office,South,Georgia,Technology,Accessories,986.71,10,0.37,-48.89
ORD-76809,2022-12-26,2023-01-03,Lisa Perez,Home Office,East,Maryland,Furniture,Bookcases,301.93,2,0.49,5.89
ORD-92478,2020-02-24,2020-03-05,Patricia Jackson,Corporate,East,Delaware,Technology,Chairs,2316.64,8,0.09,474.76
ORD-59832,2020-10-29,2020-11-12,Richard Smith,Home Office,South,Texas,Technology,Phones,565.82,8,0.16,125.97
ORD-63788,2022-10-24,2022-11-06,Dorothy Miller,Home Office,West,California,Technology,Chairs,2528.74,9,0.16,
ORD-51124,2020-12-20,2020-12-28,Donna Thomas,Home Office,East,Delaware,Office Supplies,Art,305.16,4,0.48,-16.85
ORD-49008,2021-08-14,2021-08-26,Kimberly Robinson,Consumer,West,Arizona,Office Supplies,Art,1251.3,5,0.14,232.49
ORD-61712,2021-12-07,2021-12-20,Daniel Robinson,Consumer,East,New Jersey,Office Supplies,Binders,2016.43,8,0.33,-136.92
ORD-80592,2021-07-09,2021-07-18,Jessica Johnson,Home Office,East,Connecticut,Furniture,Tables,993.96,9,0.11,74.6
ORD-53292,2022-08-25,2022-08-27,Anthony Lee,Home Office,South,Texas,Technology,Chairs,655.0,8,0.24,190.59
ORD-52096,2021-08-07,2021-08-18,Barbara Wilson,Consumer,North,Illinois,Furniture,Chairs,44.22,3,0.47,1.12
ORD-74930,2021-01-16,2021-01-28,Joshua Brown,Corporate,North,New York,Office Supplies,Labels,2552.45,6,0.14,474.31
ORD-74738,2020-10-01,2020-10-15,Lisa Garcia,Home Office,West,Arizona,Furniture,Chairs,1969.88,8,0.32,-192.83
ORD-54185,2021-08-27,2021-09-06,Margaret Taylor,Home Office,South,Florida,Technology,Machines,1946.53,6,0.04,187.25
ORD-28430,2022-09-04,2022-09-10,Mark Harris,Consumer,North,Ohio,Office Supplies,Paper,410.67,5,0.48,3.46
ORD-11498,2021-06-19,2021-06-30,Sandra Martinez,Corporate,South,Texas,Technology,Phones,614.98,3,0.2,
ORD-50760,2023-11-14,2023-11-16,Joseph Jones,Home Office,East,Massachusetts,Technology,Chairs,2770.23,8,0.08,558.02
ORD-64505,2023-12-08,2023-12-17,Jennifer Taylor,Corporate,South,Florida,Technology,Copiers,1108.64,8,0.26,309.66
ORD-24707,2020-05-06,2020-05-20,William Hernandez,Home Office,South,Virginia,Technology,Chairs,2410.25,9,0.22,552.5
ORD-74071,2020-07-05,2020-07-14,Sandra Jackson,Corporate,North,Michigan,Furniture,Furnishings,244.56,1,0.28,31.07
ORD-12853,2022-03-21,2022-03-26,Margaret Lopez,Consumer,South,Virginia,Furniture,Chairs,57.71,2,,15.79
ORD-71875,2020-03-05,2020-03-10,Nancy Lewis,Corporate,South,Florida,Technology,Machines,2508.27,7,0.22,362.13
ORD-20518,2023-10-30,2023-11-10,Paul Gonzalez,Home Office,South,Georgia,Furniture,Tables,4141.76,9,0.06,1071.5
ORD-12979,2021-09-03,2021-09-11,Jessica Anderson,Home Office,West,Colorado,Office Supplies,Paper,565.03,6,0.08,151.88
ORD-24790,2020-03-06,2020-03-19,Susan Williams,Home Office,West,Colorado,Furniture,Tables,320.26,2,0.3,69.82
ORD-16380,2021-05-16,2021-05-28,Patricia Jones,Consumer,West,Nevada,Furniture,Tables,561.33,9,0.5,21.03
ORD-85511,2021-10-15,2021-10-25,Dorothy Davis,Home Office,East,Connecticut,Office Supplies,Paper,237.23,7,0.15,
ORD-32955,2023-07-06,2023-07-17,Dorothy Hernandez,Corporate,West,California,Office Supplies,Envelopes,878.92,7,0.2,84.35
ORD-80507,2022-08-27,2022-08-31,Kimberly Wilson,Consumer,East,Connecticut,Office Supplies,Binders,381.58,7,0.28,42.25
ORD-36651,2021-11-07,2021-11-18,Patricia Rodriguez,Consumer,West,Arizona,Furniture,Tables,1411.09,7,0.34,43.8
ORD-34662,2023-04-18,2023-04-30,Karen Robinson,Home Office,South,North Carolina,Furniture,Bookcases,91.77,1,0.11,21.6
ORD-72773,2021-05-11,2021-05-23,Christopher Gonzalez,Home Office,South,North Carolina,Furniture,Bookcases,1086.47,8,0.27,125.37
ORD-77215,2022-10-15,2022-10-23,Charles Wilson,Consumer,West,Arizona,Furniture,Bookcases,85.26,1,0.28,7.37
ORD-44180,2023-02-07,2023-02-17,Lisa Davis,Home Office,West,Arizona,Furniture,Tables,657.27,7,0.28,123.34
ORD-99764,2021-11-22,2021-11-27,William Jones,Corporate,West,Nevada,Furniture,Bookcases,3141.48,9,0.24,582.85
ORD-94123,2020-04-30,2020-05-09,David Clark,Consumer,North,New York,Furniture,Furnishings,325.92,4,0.03,34.12
ORD-69770,2022-02-03,2022-02-04,Paul Moore,Home Office,West,Nevada,Furniture,Chairs,1867.01,7,0.01,221.59
ORD-47576,2020-02-05,2020-02-14,Dorothy Jones,Home Office,West,Washington,Furniture,Chairs,964.66,4,0.1,244.83
ORD-45038,2022-03-23,2022-03-25,Joseph Martinez,Corporate,West,Nevada,Technology,Chairs,576.91,2,0.33,8.04
ORD-22255,2022-04-10,2022-04-17,William Williams,Corporate,West,California,Technology,Phones,1512.64,8,0.42,-76.1
ORD-22499,2022-12-17,2022-12-18,Robert Robinson,Consumer,South,Virginia,Office Supplies,Art,194.54,2,0.34,-3.61
ORD-96259,2020-03-08,2020-03-11,Betty Robinson,Corporate,North,Pennsylvania,Technology,Chairs,486.78,2,0.15,93.3
ORD-61007,2023-10-18,2023-10-27,Steven White,Corporate,West,Washington,Technology,Phones,1304.67,6,0.03,338.78
ORD-54642,2023-05-24,2023-06-06,Mark Thomas,Home Office,West,Arizona,Furniture,Bookcases,1545.4,4,0.18,244.11
ORD-99088,2023-04-14,2023-04-25,John Williams,Corporate,North,Illinois,Office Supplies,Paper,1650.11,5,0.08,344.01
ORD-61068,2021-10-10,2021-10-16,Nancy Harris,Consumer,North,New York,Office Supplies,Envelopes,250.7,5,0.05,39.55
ORD-83005,2023-02-10,2023-02-19,Kimberly Williams,Corporate,North,New York,Furniture,Bookcases,1182.79,10,0.3,
ORD-48253,2022-04-27,2022-05-04,Matthew Garcia,Consumer,South,Virginia,Technology,Chairs,369.37,3,0.13,31.94
ORD-31916,2022-06-09,2022-06-14,Thomas Davis,Corporate,East,Maryland,Furniture,Bookcases,592.59,8,0.3,45.48
ORD-49932,2020-01-14,2020-01-21,Margaret Clark,Corporate,West,Arizona,Office Supplies,Art,1554.31,10,0.07,445.81
ORD-36326,2022-09-08,2022-09-14,Andrew Sanchez,Consumer,West,Arizona,Office Supplies,Envelopes,495.1,4,0.16,122.03
ORD-57843,2020-08-21,2020-08-31,Susan Anderson,Consumer,South,Virginia,Furniture,Furnishings,127.28,5,0.42,3.46
ORD-63627,2023-10-10,2023-10-18,Margaret Sanchez,Consumer,East,Connecticut,Office Supplies,Paper,3329.36,7,0.04,565.35
ORD-62534,2022-12-30,2023-01-08,Paul Martin,Home Office,West,Colorado,Furniture,Bookcases,250.1,2,0.05,54.06
ORD-31802,2023-08-18,2023-08-28,James Brown,Consumer,West,Arizona,Office Supplies,Binders,1673.02,5,0.11,317.03
ORD-85397,2021-03-28,2021-04-05,Steven Jones,Corporate,West,Nevada,Technology,Copiers,739.68,6,0.5,-41.19
ORD-21253,2020-08-25,2020-09-08,Sandra Sanchez,Home Office,South,Georgia,Office Supplies,Art,534.78,4,0.26,39.79
ORD-69303,2021-10-15,2021-10-17,Michael Perez,Corporate,North,New York,Furniture,Bookcases,604.0,3,0.46,-13.65
